"Main ID","Incident ID","Incident Type","Region of Incident","Incident Date","Incident Year",Month,"Number of Dead","Minimum Estimated Number of Missing","Total Number of Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Country of Origin","Region of Origin","Cause of Death","Country of Incident","Migration Route","Location of Incident",Coordinates,"UNSD Geographical Grouping","Information Source",URL,"Source Quality"
2014.MMP00001,2014.MMP00001,Incident,"North America",2014-01-06,2014,January,1,0,1,,,1,,Guatemala,"Central America","Mixed or unknown","United States of America","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.650259, -110.366453","Northern America","Pima County Office of the Medical Examiner (PCOME)",http://humaneborders.info/,5
2014.MMP00002,2014.MMP00002,Incident,"North America",2014-01-12,2014,January,1,0,1,,1,,,Unknown,"Latin America / Caribbean (P)","Mixed or unknown","United States of America","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.59713, -111.73756","Northern America","Pima County Office of the Medical Examiner (PCOME)",,5
2014.MMP00003,2014.MMP00003,Incident,"North America",2014-01-14,2014,January,1,0,1,,,1,,Unknown,"Latin America / Caribbean (P)","Mixed or unknown","United States of America","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.94026, -113.01125","Northern America","Pima County Office of the Medical Examiner (PCOME)",,5
2014.MMP00004,2014.MMP00004,Incident,"North America",2014-01-16,2014,January,1,0,1,,,1,,Mexico,"Central America",Violence,"United States of America","US-Mexico border crossing","near Douglas, Arizona, USA","31.506777, -109.315632","Northern America","Ministry of Foreign Affairs Mexico, Pima County Office of the Medical Examiner (PCOME)",http://bit.ly/1qfIw00,5
2014.MMP00005,2014.MMP00005,Incident,Europe,2014-01-16,2014,January,1,0,1,2,,1,,Sudan,"Northern Africa","Harsh environmental conditions / lack of adequate shelter, food, water","Russian Federation",,"Border between Russia and Estonia","59.1551, 28","Northern Europe","EUBusiness (Agence France-Presse)",http://bit.ly/1rTFTjR,1
2014.MMP00006,2014.MMP00006,Incident,"North America",2014-01-17,2014,January,1,0,1,,,1,,Unknown,"Latin America / Caribbean (P)","Mixed or unknown","United States of America","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.45435, -113.18402","Northern America","Pima County Office of the Medical Examiner (PCOME)",,5
2014.MMP00007,2014.MMP00007,Incident,Mediterranean,2014-01-19,2014,January,12,0,12,,9,,3,Afghanistan,Unknown,Drowning,Greece,"Eastern Mediterranean","Waters near Greece while being towed back to Turkey","37.2832, 27",Uncategorized,"European Council on Refugees and Exiles",http://bit.ly/2aMCwfg,5
2014.MMP00008,2014.MMP00008,Incident,"North America",2014-01-22,2014,January,1,0,1,,,1,,Unknown,"Latin America / Caribbean (P)","Mixed or unknown","United States of America","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.478317, -113.182833","Northern America","Pima County Office of the Medical Examiner (PCOME)",,5
2014.MMP00009,2014.MMP00009,Incident,"North America",2014-01-24,2014,January,1,0,1,,,1,,Unknown,"Latin America / Caribbean (P)","Mixed or unknown","United States of America","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.81154, -111.01101","Northern America","Pima County Office of the Medical Examiner (PCOME)",,5
2014.MMP00010,2014.MMP00010,Incident,"North America",2014-01-24,2014,January,1,0,1,,,1,,Unknown,"Latin America / Caribbean (P)","Mixed or unknown","United States of America","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.174017, -112.174583","Northern America","Pima County Office of the Medical Examiner (PCOME)",,5
2014.MMP00011,2014.MMP00011,Incident,"North America",2014-01-25,2014,January,1,0,1,,,1,,Mexico,"Central America","Mixed or unknown","United States of America","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.40291, -113.02935","Northern America","Pima County Office of the Medical Examiner (PCOME)",,5
2014.MMP00012,2014.MMP00012,Incident,"North America",2014-01-28,2014,January,1,0,1,,,1,,Unknown,"Latin America / Caribbean (P)","Mixed or unknown","United States of America","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.159, -112.919","Northern America","Pima County Office of the Medical Examiner (PCOME)",,5
